eventname, baseres, simpointres, errorRate
cycles,743601815.3788967,729162884.4654522,-0.019417557373884665
insts,200009248.90407673,200009066.9203094,-9.098767598388656e-07
icache_access,399951304.2613911,393857793.587637,-0.01523563146020306
icache_hit,388034650.5299758,381506991.44517696,-0.016822361291403666
icache_to_L2,1071824.450839329,916500.0588673,-0.14491588790533458
itlb_access,145355565.47721806,149291306.28904018,0.027076643394428366
itlb_hit,144129681.70024,147903230.2602102,0.026181620020631163
itlb_to_ptw,217417.94244604334,232097.68449570003,0.06751854002711744
npc_from_f1,653240726.235012,636343335.7981021,-0.025867019244649563
npc_from_f2,34237949.92805756,35136794.8984634,0.026252885242677673
npc_from_f3,16875181.858513188,17005288.920658197,0.007709965038354432
npc_from_core,5089905.148681051,5510441.208926299,0.08262159076858656
fb_out_zero,75426250.79856116,74328664.8978068,-0.0145517759285909
fb_out_full,632241081.5083935,619833233.8205149,-0.01962518420706878
fb_out_notFull,35934483.071942456,35000985.74713041,-0.025977758548610355
dec_out_zero,609098761.366906,591708755.1304444,-0.028550388441828285
dec_out_full,117282665.3189448,119562244.19736311,0.019436622387623115
dec_out_notFull,17220388.693045568,17891885.1376446,0.038994267584111814
brmask_stall,9420116.836930444,20816889.277420398,1.209833448754082
rename_stall,6078831.2853717,5056691.8229453,-0.16814736491965335
dis_out_zero,596185332.4796166,578862444.0967742,-0.029056213628728754
dis_out_full,101061516.01678644,103027171.2945908,0.019450086989372513
dis_out_notFull,46354966.88249403,47273269.07408701,0.01981022214773221
dis_ldq_stall,157050591.44124687,141632768.0032593,-0.09817106256333599
dis_stq_stall,303790467.6474822,336409951.3793545,0.10737494163155849
dis_rob_stall,98539256.4820144,93174351.80465019,-0.054444338925405115
iss_uop_num,272085402.5563549,276710783.4563349,0.016999739260256677
iss_val_zero,568803822.7769781,551541419.7373378,-0.030348605878495846
iss_val_full,18111541.7242206,18339838.2555061,0.012605030248761038
iss_val_notFull,156686450.87769786,159281626.4726082,0.01656285901156844
spec_miss_issuop,24915559.860911272,26186267.7302091,0.05100057459641419
exe_is_ld,50543778.37170267,51090250.30020911,0.010811853527997978
exe_is_st,49271192.47482016,49551194.9837219,0.005682884761614645
dtlb_access,151866487.27098322,155150943.78455618,0.021627263345548618
dtlb_miss_num,45716361.280575536,47623389.0009815,0.04171433742729312
dtlb_to_ptw,20702402.947242193,21627886.648880396,0.04470416811018011
dcache_access,283521557.0359714,269574220.8992728,-0.0491932122640292
dcache_nack_num,78349833.48920868,70746105.2668525,-0.0970484286147649
dcache_to_L2,6146944.76019185,6303648.8088152995,0.02549299769834898
exe_is_br,38550412.41007193,38950259.9841888,0.010372069949954776
exe_is_jalr,5382307.594724223,5547723.2973326985,0.030733230997540373
exe_is_ret,3244942.0647482025,3362076.2686364995,0.03609747155759662
exe_is_jalrcall,1287631.6546762583,1264872.9363962,-0.01767486703002843
exe_misp_br,1086330.1294964026,1253499.9729833,0.15388493695226282
exe_misp_jalr,611436.160671463,669750.0183524998,0.0953719479348393
exe_misp_ret,237292.23021582724,251925.29385999998,0.061666846954337086
exe_misp_jalrcall,93158.72901678648,79156.305252,-0.15030715760692
com_is_ld,40631159.43645083,40322133.5096803,-0.00760563890021063
com_is_st,39421326.21342923,39438589.1705967,0.00043790909199772644
com_is_br,33726270.13189447,33724183.6165455,-6.186617556021118e-05
com_is_jalr,4259112.932853719,4375803.771735999,0.02739792081636436
com_is_ret,2570001.297362107,2633150.884114,0.024571811234769016
com_is_jalrcall,867184.4388489217,851252.0788299,-0.01837251604764711
com_misp_br,776266.6115107918,885991.3381374001,0.1413492800019557
com_misp_jalr,447532.8729016785,492401.9875548,0.10025881308383597
com_misp_ret,88628.06474820146,91367.1246113,0.030905107438376253
com_misp_jalrcall,83770.52757793768,70623.0088176,-0.15694683011403518
l2tlb_miss,459735.7961630696,505389.4204155,0.09930404513516916
misalign_excpt,0.0,0.0,0
lstd_pagefault,490.925659472422,359.3333758,-0.26804930875652117
fetch_pagefault,0.12230215827338127,0.0,-1.0
mini_exception,773296.8273381296,814542.7605083,0.05333777627427834
