select_label,com_misp_MPKI,priority,l2_branch_mispredicts,priority,
154,14.672,0,0.157,4,
361,14.522,1,0.155,6,
360,14.51,2,0.159,0,
155,14.387,3,0.153,8,
156,14.307,4,0.158,1,
362,14.214,5,0.157,3,
157,14.093,6,0.158,2,
73,14.038,7,0.143,13,
159,14.035,8,0.149,11,
364,13.84,9,0.155,5,
341,13.819,10,0.144,12,
285,13.773,11,0.141,16,
75,13.77,12,0.141,15,
282,13.673,13,0.14,19,
74,13.664,14,0.14,17,
284,13.651,15,0.14,18,
283,13.637,16,0.14,22,
78,13.591,17,0.114,41,
76,13.548,18,0.139,23,
158,13.533,19,0.155,7,
334,13.492,20,0.138,26,
342,13.363,21,0.141,14,
363,13.352,22,0.153,9,
72,13.337,23,0.12,36,
126,13.296,24,0.136,30,
287,13.275,25,0.114,39,
343,13.134,26,0.14,21,
135,13.11,27,0.14,20,
136,13.04,28,0.139,24,
286,13.023,29,0.135,32,
336,12.954,30,0.136,31,
137,12.916,31,0.139,25,
77,12.864,32,0.134,33,
86,12.592,33,0.08,137,
88,12.57,34,0.104,83,
128,12.565,35,0.112,43,
303,12.551,36,0.104,85,
213,12.54,37,0.119,38,
301,12.494,38,0.103,95,
299,12.492,39,0.103,91,
87,12.479,40,0.104,86,
109,12.469,41,0.105,79,
300,12.464,42,0.104,84,
90,12.463,43,0.104,87,
310,12.453,44,0.112,42,
89,12.451,45,0.103,94,
281,12.447,46,0.107,65,
304,12.429,47,0.102,98,
110,12.395,48,0.103,89,
324,12.393,49,0.104,81,
302,12.372,50,0.102,97,
120,12.332,51,0.104,88,
121,12.326,52,0.101,106,
98,12.32,53,0.108,59,
91,12.314,54,0.105,77,
105,12.312,55,0.109,54,
314,12.286,56,0.109,49,
99,12.275,57,0.107,66,
309,12.272,58,0.108,62,
92,12.264,59,0.104,82,
96,12.263,60,0.105,78,
307,12.261,61,0.108,63,
104,12.26,62,0.107,72,
323,12.25,63,0.1,110,
322,12.244,64,0.107,73,
308,12.238,65,0.11,48,
95,12.221,66,0.105,80,
316,12.22,67,0.11,47,
329,12.217,68,0.102,102,
298,12.215,69,0.101,105,
325,12.214,70,0.102,103,
319,12.206,71,0.107,69,
100,12.196,72,0.11,46,
306,12.194,73,0.102,99,
320,12.174,74,0.103,93,
107,12.168,75,0.108,60,
326,12.159,76,0.103,90,
108,12.158,77,0.109,56,
94,12.143,78,0.106,76,
101,12.138,79,0.109,52,
106,12.127,80,0.109,57,
97,12.124,81,0.107,71,
315,12.119,82,0.107,67,
327,12.111,83,0.101,104,
321,12.11,84,0.102,96,
317,12.106,85,0.108,58,
102,12.098,86,0.109,51,
297,12.097,87,0.1,109,
103,12.094,88,0.106,74,
328,12.088,89,0.102,100,
318,12.071,90,0.109,55,
305,12.049,91,0.101,107,
312,12.027,92,0.106,75,
313,12.025,93,0.11,45,
311,12.024,94,0.109,50,
119,11.93,95,0.1,111,
115,11.896,96,0.099,114,
344,11.896,97,0.132,34,
111,11.892,98,0.107,70,
118,11.889,99,0.1,113,
117,11.863,100,0.098,116,
114,11.86,101,0.098,120,
0,11.844,102,0.15,10,
112,11.838,103,0.103,92,
207,11.829,104,0.119,37,
134,11.828,105,0.091,129,
116,11.821,106,0.1,112,
335,11.802,107,0.087,131,
93,11.791,108,0.107,64,
113,11.762,109,0.098,118,
414,11.687,110,0.109,53,
127,11.452,111,0.094,126,
340,11.358,112,0.077,144,
415,11.051,113,0.111,44,
1,10.888,114,0.136,29,
4,10.857,115,0.136,27,
3,10.694,116,0.136,28,
330,10.681,117,0.085,133,
138,10.669,118,0.081,136,
359,10.658,119,0.099,115,
215,10.547,120,0.095,124,
209,10.488,121,0.095,125,
7,9.998,122,0.058,173,
129,9.798,123,0.057,176,
211,9.752,124,0.108,61,
208,9.736,125,0.067,161,
365,9.611,127,0.073,152,
212,9.291,132,0.098,121,
296,9.286,133,0.044,194,
210,9.182,134,0.097,123,
416,8.861,138,0.057,177,
333,8.727,140,0.05,190,
353,8.655,143,0.102,101,
172,8.565,145,0.085,132,
378,8.539,146,0.063,165,
171,8.484,147,0.122,35,
148,8.459,148,0.098,117,
377,8.449,149,0.097,122,
354,8.414,151,0.107,68,
147,8.396,152,0.093,128,
197,8.392,153,0.071,154,
295,8.362,154,0.063,164,
352,8.34,155,0.094,127,
173,8.323,156,0.062,167,
404,8.313,157,0.069,157,
217,8.281,158,0.054,180,
198,8.249,161,0.065,162,
405,8.235,162,0.069,156,
337,8.231,164,0.055,179,
146,8.195,165,0.082,135,
2,8.144,167,0.088,130,
376,8.114,168,0.114,40,
413,8.051,169,0.083,134,
199,7.973,170,0.101,108,
196,7.949,171,0.052,184,
206,7.922,172,0.077,143,
406,7.912,173,0.098,119,
71,7.895,174,0.051,187,
268,7.641,176,0.063,166,
375,7.602,177,0.052,186,
411,7.591,178,0.07,155,
85,7.502,179,0.042,196,
204,7.449,180,0.068,159,
214,7.418,181,0.072,153,
170,7.221,184,0.062,168,
410,7.012,185,0.065,163,
403,6.998,186,0.041,198,
351,6.883,187,0.042,197,
8,6.803,188,0.076,147,
280,6.688,189,0.041,199,
231,6.68,190,0.075,150,
381,6.667,191,0.078,141,
181,6.569,192,0.079,139,
23,6.475,193,0.067,160,
379,6.45,194,0.058,174,
383,6.449,195,0.077,142,
59,6.349,196,0.068,158,
5,6.347,197,0.049,192,
