eventname, baseres, simpointres, errorRate
cycles,531427369.25531894,522351255.76482624,-0.01707874681578956
insts,200006603.88297883,200005973.67955637,-3.1509130709789125e-06
icache_access,286489772.1223402,283641681.17509663,-0.009941335518349137
icache_hit,271614170.24999994,268864982.92916054,-0.01012166382302142
icache_to_L2,2020382.2819148935,2005187.1509671,-0.007520918730979883
itlb_access,171686102.4202128,173397059.51433232,0.009965612067608369
itlb_hit,169585598.36170208,171229992.64249873,0.00969654438043369
itlb_to_ptw,422454.3085106384,416897.67674870003,-0.013153213613865799
npc_from_f1,408701513.1329788,401946497.60824126,-0.016527992453357187
npc_from_f2,45369653.92553192,45022639.0620052,-0.007648611649017519
npc_from_f3,26871844.632978726,27061826.670920502,0.007069929159556801
npc_from_core,7742728.984042553,7819547.2400033,0.009921341185913384
fb_out_zero,94529618.92021275,92593675.14917581,-0.020479758547116977
fb_out_full,396252729.9042553,388880935.4218958,-0.018603769579431495
fb_out_notFull,40645020.43085104,40876645.193754606,0.005698724233577998
dec_out_zero,385282682.5638299,375161633.11809564,-0.026269152245267356
dec_out_full,121633833.87234038,122062230.15068759,0.003522015747664653
dec_out_notFull,24510852.81914894,25127392.496043,0.025153742362338114
brmask_stall,6597071.297872342,7606601.048274201,0.1530269576937039
rename_stall,6154953.861702126,6247617.930856701,0.015055201263352554
dis_out_zero,380056247.5585106,370180298.1878678,-0.02598549407906353
dis_out_full,111372751.57446812,111921987.4603257,0.004931510428655808
dis_out_notFull,39998370.12234041,40248970.1166327,0.006265255147292131
dis_ldq_stall,123079453.25,115130497.1096016,-0.06458394094627974
dis_stq_stall,88801966.54255319,85480004.6427845,-0.0374086524106065
dis_rob_stall,103416428.23404253,101471016.2700941,-0.018811440282444792
iss_uop_num,284048047.9734043,285357609.24269384,0.004610351236816698
iss_val_zero,346572412.0904256,337072058.80347466,-0.027412318336729496
iss_val_full,17971920.18085107,17986080.6806938,0.0007879235885891058
iss_val_notFull,166883036.98404253,167293116.28065768,0.0024572856775992493
spec_miss_issuop,26064019.723404266,26345477.841412805,0.010798722568330582
exe_is_ld,65062077.84042551,65275379.3258337,0.0032784302698008008
exe_is_st,43230223.26595747,42667886.6847731,-0.013007949964190642
dtlb_access,177268703.61702138,177639928.40974182,0.0020941361060689335
dtlb_miss_num,61167436.06914894,61835860.3517892,0.010927779969142593
dtlb_to_ptw,27418534.664893605,27809399.926574998,0.014255512428308302
dcache_access,124283784.87765954,121883364.24081151,-0.019314029092459002
dcache_nack_num,16916159.840425536,15319681.544902602,-0.0943759287322254
dcache_to_L2,3293653.4840425523,3250023.3357922,-0.013246732985645325
